crop,d_cover,d_roads,animal_id,use,roaddist,BinRoad,NewDate,Season,cropnew,std_cover,std_roads
1,108.1665383,254.5584412,647572A,1,266.8465073,200-400,11/2/2011 0:00,winter2012,1,0.146932662,-0.391747688
2,84.85281374,30,647572A,1,11.62913354,0-200,11/2/2011 3:00,winter2012,1,-0.038770589,-1.104775143
2,84.85281374,30,647572A,1,12.64590972,0-200,11/2/2011 6:00,winter2012,1,-0.038770589,-1.104775143
4,0,30,647572A,1,26.29483532,0-200,11/2/2011 9:00,winter2012,2,-0.714657587,-1.104775143
2,150,30,647572A,1,34.6030871,0-200,11/2/2011 12:00,winter2012,1,0.480153113,-1.104775143
5,30,84.85281374,647572A,1,76.24286478,0-200,11/2/2011 15:00,winter2012,3,-0.475695447,-0.93060417
1,67.08203932,0,647572A,1,7.370092215,0-200,11/2/2011 18:00,winter2012,1,-0.180321998,-1.200032411
1,67.08203932,0,647572A,1,10.19944334,0-200,11/2/2011 21:00,winter2012,1,-0.180321998,-1.200032411
2,152.9705854,30,647572A,1,34.56191542,0-200,11/3/2011 0:00,winter2012,1,0.503815028,-1.104775143
2,335.4101966,342.0526275,647572A,1,337.4078281,200-400,11/3/2011 3:00,winter2012,1,1.957020359,-0.113932449
2,218.4032967,330,647572A,1,336.8075389,200-400,11/3/2011 6:00,winter2012,1,1.025013052,-0.152202461
2,247.3863375,300,647572A,1,319.2632156,200-400,11/3/2011 9:00,winter2012,1,1.255874701,-0.247459729
2,313.2091953,268.3281573,647572A,1,270.9683493,200-400,11/3/2011 12:00,winter2012,1,1.780180399,-0.348025503
4,0,570.7889277,647572A,1,579.2514225,600-800,11/3/2011 15:00,winter2012,2,-0.714657587,0.612360721
4,0,256.3201124,647572A,1,282.6499213,200-400,11/3/2011 18:01,winter2012,2,-0.714657587,-0.386153955
4,0,421.0700654,647572A,1,413.4883765,400-600,11/3/2011 21:00,winter2012,2,-0.714657587,0.13696706
5,30,308.8689042,647572A,1,316.6172709,200-400,11/4/2011 0:00,winter2012,3,-0.475695447,-0.21929881
2,241.8677324,531.6013544,647572A,1,531.2010001,400-600,11/4/2011 3:00,winter2012,1,1.211916778,0.487930681
2,120,660,647572A,1,663.7254827,600-800,11/4/2011 6:00,winter2012,1,0.241190973,0.895627489
2,94.86832981,366.1966685,647572A,1,362.0218297,200-400,11/4/2011 9:00,winter2012,1,0.04100705,-0.037269269
2,60,436.8065934,647572A,1,436.6256212,400-600,11/4/2011 12:00,winter2012,1,-0.236733307,0.186934349
4,0,551.5432893,647572A,1,557.5090916,400-600,11/4/2011 15:00,winter2012,2,-0.714657587,0.551251156
4,0,558.0322571,647572A,1,551.1874311,400-600,11/4/2011 18:00,winter2012,2,-0.714657587,0.571855201
4,0,582.4946352,647572A,1,592.7547885,600-800,11/4/2011 21:00,winter2012,2,-0.714657587,0.649529178
5,152.9705854,330,647572A,1,320.9118929,200-400,11/5/2011 0:00,winter2012,3,0.503815028,-0.152202461
